Date,D0,D1,D2,Value
1989-08,A,M,N,-13.6
1989-08,A,M,R,-21.9
1989-08,A,U,WMF,320.762
1989-08,A,U,N,-23.8
1989-08,A,U,R,-27.9
1989-08,A,P,WMF,288.022
1989-08,A,P,N,-12.8
1989-08,A,P,R,-17.6
1989-08,A,TBS1,WMF,272.418
1989-08,A,TBS1,N,-25.9
1989-08,A,TBS1,R,-31.8
1989-08,H,T,WMF,-1478.684
1989-09,E,T,WMF,7349.875
1989-09,E,T,N,14.3
1989-09,E,T,R,4.8
1989-09,E,MAE,WMF,1583.163
1989-09,E,MAE,N,12.1
1989-09,E,MAE,R,6.6
1989-09,E,PUB,WMF,444.137
1989-09,E,PUB,N,15.7
1989-09,E,PUB,R,0.5
1989-09,E,C,WMF,870.403
1989-09,E,C,N,11.4
1989-09,E,C,R,3.5
1989-09,E,TBS0,WMF,810.299
1989-09,E,TBS0,N,26
1989-09,E,TBS0,R,14.6
1989-09,E,F,WMF,792.324
1989-09,E,F,N,2.7
1989-09,E,F,R,-6
1989-09,A,T,WMF,6560.261
1989-09,A,T,N,15
1989-09,A,T,R,7
1989-09,A,MAE,WMF,2057.796
1989-09,A,MAE,N,11.7
1989-09,A,MAE,R,6
1989-09,A,C,WMF,1426.167
1989-09,A,C,N,7.9
1989-09,A,C,R,-3.6
1989-09,A,M,WMF,658.545
1989-09,A,M,N,22.7
1989-09,A,M,R,12.8
1989-09,A,U,WMF,523.943
1989-09,A,U,N,24.5
1989-09,A,U,R,13
1989-09,A,P,WMF,353.133
1989-09,A,P,N,6.9
1989-09,A,P,R,1.2
1989-09,A,TBS1,WMF,450.623
1989-09,A,TBS1,N,22.6
1989-09,A,TBS1,R,13.8
1989-09,H,T,WMF,-789.614
1989-10,E,T,WMF,8044.539
1989-10,E,T,N,25.1
1989-10,E,T,R,15.7
1989-10,E,MAE,WMF,1721.332
1989-10,E,MAE,N,21.9
1989-10,E,MAE,R,16.1
1989-10,E,PUB,WMF,520.222
1989-10,E,PUB,N,35.5
1989-10,E,PUB,R,29.3
1989-10,E,C,WMF,930.843
1989-10,E,C,N,19.1
1989-10,E,C,R,13.7
1989-10,E,TBS0,WMF,793.95
1989-10,E,TBS0,N,23.5
1989-10,E,TBS0,R,11.5
1989-10,E,F,WMF,893.174
1989-10,E,F,N,15.8
1989-10,E,F,R,10.4
1989-10,A,T,WMF,7108.694
1989-10,A,T,N,24.6
1989-10,A,T,R,16
1989-10,A,MAE,WMF,2176.495
1989-10,A,MAE,N,18.1
1989-10,A,MAE,R,14.6
1989-10,A,C,WMF,1626.198
1989-10,A,C,N,23
1989-10,A,C,R,7.1
