"CubeId";"devkum"
"PublishingDate";"2017-10-02 14:30"

"Date";"D0";"D1";"Value"
"2002-09";"M0";"USD1";"1.4938"
"2002-09";"M0";"CAD1";"0.9493"
"2002-09";"M0";"ARS100";"40.9371"
"2002-09";"M0";"BRL100";"45.3238"
"2002-09";"M0";"MXN100";"14.84"
"2002-09";"M0";"ZAR1";"0.1406"
"2002-09";"M0";"JPY100";"1.23741"
"2002-09";"M0";"AUD1";"0.816781"
"2002-09";"M0";"CNY100";"18.05109524"
"2002-09";"M0";"HKD100";"19.151262"
"2002-09";"M0";"KRW100";"0.1234"
"2002-09";"M0";"MYR100";"39.3071"
"2002-09";"M0";"NZD1";"0.7021"
"2002-09";"M0";"SGD100";"84.5943"
"2002-09";"M0";"THB100";"3.486"
"2002-09";"M0";"XDR1";"1.974154"
"2002-10";"M0";"EUR1";"1.4649"
"2002-10";"M0";"GBP1";"2.3242"
"2002-10";"M0";"DKK100";"19.713"
"2002-10";"M0";"NOK100";"19.9561"
"2002-10";"M0";"CZK100";"4.7738"
"2002-10";"M0";"HUF100";"0.6013"
"2002-10";"M0";"PLN100";"36.2287"
"2002-10";"M0";"RUB100";"4.7048"
"2002-10";"M0";"SEK100";"16.0848"
"2002-10";"M0";"TRY100";"0.00009"
"2002-10";"M0";"USD1";"1.4929"
"2002-10";"M0";"CAD1";"0.9458"
"2002-10";"M0";"ARS100";"40.7109"
"2002-10";"M0";"BRL100";"39.2739"
"2002-10";"M0";"MXN100";"14.7904"
"2002-10";"M0";"ZAR1";"0.1444"
"2002-10";"M0";"JPY100";"1.205052"
"2002-10";"M0";"AUD1";"0.821026"
"2002-10";"M0";"CNY100";"18.03608696"
"2002-10";"M0";"HKD100";"19.140774"
"2002-10";"M0";"KRW100";"0.1203"
"2002-10";"M0";"MYR100";"39.2813"
"2002-10";"M0";"NZD1";"0.7183"
"2002-10";"M0";"SGD100";"83.6048"
"2002-10";"M0";"THB100";"3.4188"
"2002-10";"M0";"XDR1";"1.968445"
"2002-11";"M0";"EUR1";"1.4673"
"2002-11";"M0";"GBP1";"2.3028"
"2002-11";"M0";"DKK100";"19.749"
"2002-11";"M0";"NOK100";"20.0276"
"2002-11";"M0";"CZK100";"4.7697"
"2002-11";"M0";"HUF100";"0.6154"
"2002-11";"M0";"PLN100";"37.0652"
"2002-11";"M0";"RUB100";"4.6"
"2002-11";"M0";"SEK100";"16.1524"
"2002-11";"M0";"TRY100";"0.000091"
"2002-11";"M0";"USD1";"1.4651"
"2002-11";"M0";"CAD1";"0.9325"
